CAXIAS DO SUL  código:430510

Descrição,Valor,Unidade
Total de endereços urbanos,174534,endereços
Total de endereços rurais,8693,endereços
Total de estabelecimentos de ensino,265,estabelecimentos
Total de estabelecimentos de saúde,212,estabelecimentos
Domicílios particulares permanentes,146830,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,139286,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,146737,domicílios
População residente ,435564,pessoas
População residente - Homens,213612,pessoas
População residente - Mulheres,221952,pessoas
População residente alfabetizada,391554,pessoas
População residente - cor ou raça - Branca,360633,pessoas
População residente - cor ou raça - Preta,14424,pessoas
População residente - cor ou raça - Parda,58203,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,1400,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,725,pessoas
Área da unidade territorial,1644.302,Km²
Eleitorado,279761,Eleitores
PIB per capita a preços correntes,28868.44,Reais
Matrícula - Ensino fundamental - 2009,57589,Matrículas
Matrícula - Ensino médio - 2009,15436,Matrículas
Docentes - Ensino fundamental - 2009,2769,Docentes
Docentes - Ensino médio - 2009,876,Docentes
Estabelecimentos de Saúde SUS,94,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,6278,pessoas
Receitas orçamentárias realizadas - Correntes,85242261957,Reais
Despesas orçamentárias empenhadas - Correntes,74361638730,Reais
Valor do Fundo de Participação dos Municípios  - FPM,3614388143,Reais
Número de unidades locais,24387,Unidades
Pessoal ocupado total,189399,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

