CENTENÃ¡RIO  código:430511

Descrição,Valor,Unidade
Total de endereços urbanos,481,endereços
Total de endereços rurais,739,endereços
Total de estabelecimentos de ensino,4,estabelecimentos
Total de estabelecimentos de saúde,4,estabelecimentos
Domicílios particulares permanentes,952,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,637,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,951,domicílios
População residente ,2965,pessoas
População residente - Homens,1541,pessoas
População residente - Mulheres,1424,pessoas
População residente alfabetizada,2701,pessoas
População residente - cor ou raça - Branca,2874,pessoas
População residente - cor ou raça - Preta,17,pessoas
População residente - cor ou raça - Parda,65,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,82,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,134.331,Km²
Eleitorado,2365,Eleitores
PIB per capita a preços correntes,10021.99,Reais
Matrícula - Ensino fundamental - 2009,333,Matrículas
Matrícula - Ensino médio - 2009,90,Matrículas
Docentes - Ensino fundamental - 2009,25,Docentes
Docentes - Ensino médio - 2009,13,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,713197640,Reais
Despesas orçamentárias empenhadas - Correntes,560659273,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,88,Unidades
Pessoal ocupado total,264,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

