CERRITO  código:430512

Descrição,Valor,Unidade
Total de endereços urbanos,1951,endereços
Total de endereços rurais,1322,endereços
Total de estabelecimentos de ensino,12,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,2250,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1349,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2235,domicílios
População residente ,6402,pessoas
População residente - Homens,3213,pessoas
População residente - Mulheres,3189,pessoas
População residente alfabetizada,5342,pessoas
População residente - cor ou raça - Branca,5555,pessoas
População residente - cor ou raça - Preta,431,pessoas
População residente - cor ou raça - Parda,385,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,365,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,451.701,Km²
Eleitorado,5153,Eleitores
PIB per capita a preços correntes,6644.83,Reais
Matrícula - Ensino fundamental - 2009,942,Matrículas
Matrícula - Ensino médio - 2009,263,Matrículas
Docentes - Ensino fundamental - 2009,80,Docentes
Docentes - Ensino médio - 2009,38,Docentes
Estabelecimentos de Saúde SUS,4,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,940375732,Reais
Despesas orçamentárias empenhadas - Correntes,743670514,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398906341,Reais
Número de unidades locais,119,Unidades
Pessoal ocupado total,545,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

