CERRO GRANDE DO SUL  código:430517

Descrição,Valor,Unidade
Total de endereços urbanos,1269,endereços
Total de endereços rurais,3063,endereços
Total de estabelecimentos de ensino,18,estabelecimentos
Total de estabelecimentos de saúde,7,estabelecimentos
Domicílios particulares permanentes,3333,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,827,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,3280,domicílios
População residente ,10268,pessoas
População residente - Homens,5355,pessoas
População residente - Mulheres,4913,pessoas
População residente alfabetizada,8410,pessoas
População residente - cor ou raça - Branca,8510,pessoas
População residente - cor ou raça - Preta,409,pessoas
População residente - cor ou raça - Parda,1308,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,325,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,6,pessoas
Área da unidade territorial,324.790,Km²
Eleitorado,6218,Eleitores
PIB per capita a preços correntes,9386.68,Reais
Matrícula - Ensino fundamental - 2009,1622,Matrículas
Matrícula - Ensino médio - 2009,351,Matrículas
Docentes - Ensino fundamental - 2009,104,Docentes
Docentes - Ensino médio - 2009,18,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,39,pessoas
Receitas orçamentárias realizadas - Correntes,1300176829,Reais
Despesas orçamentárias empenhadas - Correntes,1011491520,Reais
Valor do Fundo de Participação dos Municípios  - FPM,406445299,Reais
Número de unidades locais,280,Unidades
Pessoal ocupado total,965,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

