CHARRUA  código:430537

Descrição,Valor,Unidade
Total de endereços urbanos,326,endereços
Total de endereços rurais,833,endereços
Total de estabelecimentos de ensino,5,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,929,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,427,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,900,domicílios
População residente ,3471,pessoas
População residente - Homens,1728,pessoas
População residente - Mulheres,1743,pessoas
População residente alfabetizada,2784,pessoas
População residente - cor ou raça - Branca,1885,pessoas
População residente - cor ou raça - Preta,11,pessoas
População residente - cor ou raça - Parda,48,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,141,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,198.125,Km²
Eleitorado,2615,Eleitores
PIB per capita a preços correntes,13327.50,Reais
Matrícula - Ensino fundamental - 2009,674,Matrículas
Matrícula - Ensino médio - 2009,101,Matrículas
Docentes - Ensino fundamental - 2009,41,Docentes
Docentes - Ensino médio - 2009,9,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,71,pessoas
Receitas orçamentárias realizadas - Correntes,763382500,Reais
Despesas orçamentárias empenhadas - Correntes,604324000,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398918700,Reais
Número de unidades locais,71,Unidades
Pessoal ocupado total,251,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

