CHIAPETTA  código:430540

Descrição,Valor,Unidade
Total de endereços urbanos,1182,endereços
Total de endereços rurais,643,endereços
Total de estabelecimentos de ensino,7,estabelecimentos
Total de estabelecimentos de saúde,10,estabelecimentos
Domicílios particulares permanentes,1352,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1259,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1346,domicílios
População residente ,4044,pessoas
População residente - Homens,1975,pessoas
População residente - Mulheres,2069,pessoas
População residente alfabetizada,3526,pessoas
População residente - cor ou raça - Branca,3200,pessoas
População residente - cor ou raça - Preta,152,pessoas
População residente - cor ou raça - Parda,685,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,132,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,9,pessoas
Área da unidade territorial,396.553,Km²
Eleitorado,3414,Eleitores
PIB per capita a preços correntes,18112.04,Reais
Matrícula - Ensino fundamental - 2009,574,Matrículas
Matrícula - Ensino médio - 2009,151,Matrículas
Docentes - Ensino fundamental - 2009,58,Docentes
Docentes - Ensino médio - 2009,19,Docentes
Estabelecimentos de Saúde SUS,5,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,39,pessoas
Receitas orçamentárias realizadas - Correntes,952507871,Reais
Despesas orçamentárias empenhadas - Correntes,759904505,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,158,Unidades
Pessoal ocupado total,548,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

