CHUVISCA  código:430544

Descrição,Valor,Unidade
Total de endereços urbanos,157,endereços
Total de endereços rurais,1682,endereços
Total de estabelecimentos de ensino,6,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,1500,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,85,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1488,domicílios
População residente ,4944,pessoas
População residente - Homens,2603,pessoas
População residente - Mulheres,2341,pessoas
População residente alfabetizada,4113,pessoas
População residente - cor ou raça - Branca,4591,pessoas
População residente - cor ou raça - Preta,219,pessoas
População residente - cor ou raça - Parda,108,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,199,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,220.472,Km²
Eleitorado,3572,Eleitores
PIB per capita a preços correntes,11467.17,Reais
Matrícula - Ensino fundamental - 2009,835,Matrículas
Matrícula - Ensino médio - 2009,213,Matrículas
Docentes - Ensino fundamental - 2009,57,Docentes
Docentes - Ensino médio - 2009,17,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,890513412,Reais
Despesas orçamentárias empenhadas - Correntes,742924368,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,90,Unidades
Pessoal ocupado total,291,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

