COLORADO  código:430560

Descrição,Valor,Unidade
Total de endereços urbanos,906,endereços
Total de endereços rurais,731,endereços
Total de estabelecimentos de ensino,5,estabelecimentos
Total de estabelecimentos de saúde,9,estabelecimentos
Domicílios particulares permanentes,1245,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1025,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1242,domicílios
População residente ,3550,pessoas
População residente - Homens,1727,pessoas
População residente - Mulheres,1823,pessoas
População residente alfabetizada,3229,pessoas
População residente - cor ou raça - Branca,2942,pessoas
População residente - cor ou raça - Preta,278,pessoas
População residente - cor ou raça - Parda,316,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,76,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,11,pessoas
Área da unidade territorial,285.263,Km²
Eleitorado,3009,Eleitores
PIB per capita a preços correntes,25367.37,Reais
Matrícula - Ensino fundamental - 2009,394,Matrículas
Matrícula - Ensino médio - 2009,131,Matrículas
Docentes - Ensino fundamental - 2009,43,Docentes
Docentes - Ensino médio - 2009,14,Docentes
Estabelecimentos de Saúde SUS,4,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,24,pessoas
Receitas orçamentárias realizadas - Correntes,1026469138,Reais
Despesas orçamentárias empenhadas - Correntes,866797623,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,154,Unidades
Pessoal ocupado total,604,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

