CONDOR  código:430570

Descrição,Valor,Unidade
Total de endereços urbanos,1697,endereços
Total de endereços rurais,1029,endereços
Total de estabelecimentos de ensino,10,estabelecimentos
Total de estabelecimentos de saúde,7,estabelecimentos
Domicílios particulares permanentes,2138,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1736,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2131,domicílios
População residente ,6552,pessoas
População residente - Homens,3219,pessoas
População residente - Mulheres,3333,pessoas
População residente alfabetizada,5744,pessoas
População residente - cor ou raça - Branca,5073,pessoas
População residente - cor ou raça - Preta,221,pessoas
População residente - cor ou raça - Parda,1234,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,119,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,4,pessoas
Área da unidade territorial,465.189,Km²
Eleitorado,5452,Eleitores
PIB per capita a preços correntes,22901.86,Reais
Matrícula - Ensino fundamental - 2009,943,Matrículas
Matrícula - Ensino médio - 2009,323,Matrículas
Docentes - Ensino fundamental - 2009,89,Docentes
Docentes - Ensino médio - 2009,27,Docentes
Estabelecimentos de Saúde SUS,6,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,70,pessoas
Receitas orçamentárias realizadas - Correntes,1624713196,Reais
Despesas orçamentárias empenhadas - Correntes,1031638844,Reais
Valor do Fundo de Participação dos Municípios  - FPM,393348326,Reais
Número de unidades locais,245,Unidades
Pessoal ocupado total,1534,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

