CONSTANTINA  código:430580

Descrição,Valor,Unidade
Total de endereços urbanos,2853,endereços
Total de endereços rurais,1152,endereços
Total de estabelecimentos de ensino,15,estabelecimentos
Total de estabelecimentos de saúde,9,estabelecimentos
Domicílios particulares permanentes,3062,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,2691,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,3046,domicílios
População residente ,9752,pessoas
População residente - Homens,4776,pessoas
População residente - Mulheres,4976,pessoas
População residente alfabetizada,8397,pessoas
População residente - cor ou raça - Branca,7859,pessoas
População residente - cor ou raça - Preta,226,pessoas
População residente - cor ou raça - Parda,1176,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,126,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,5,pessoas
Área da unidade territorial,203.000,Km²
Eleitorado,7270,Eleitores
PIB per capita a preços correntes,11332.44,Reais
Matrícula - Ensino fundamental - 2009,1335,Matrículas
Matrícula - Ensino médio - 2009,426,Matrículas
Docentes - Ensino fundamental - 2009,114,Docentes
Docentes - Ensino médio - 2009,31,Docentes
Estabelecimentos de Saúde SUS,6,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,149,pessoas
Receitas orçamentárias realizadas - Correntes,1389227665,Reais
Despesas orçamentárias empenhadas - Correntes,1242187928,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917550,Reais
Número de unidades locais,531,Unidades
Pessoal ocupado total,1834,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

