COQUEIROS DO SUL  código:430585

Descrição,Valor,Unidade
Total de endereços urbanos,494,endereços
Total de endereços rurais,676,endereços
Total de estabelecimentos de ensino,3,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,863,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,698,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,859,domicílios
População residente ,2457,pessoas
População residente - Homens,1255,pessoas
População residente - Mulheres,1202,pessoas
População residente alfabetizada,2218,pessoas
População residente - cor ou raça - Branca,2218,pessoas
População residente - cor ou raça - Preta,80,pessoas
População residente - cor ou raça - Parda,148,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,91,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,3,pessoas
Área da unidade territorial,275.550,Km²
Eleitorado,2154,Eleitores
PIB per capita a preços correntes,15556.09,Reais
Matrícula - Ensino fundamental - 2009,352,Matrículas
Matrícula - Ensino médio - 2009,91,Matrículas
Docentes - Ensino fundamental - 2009,34,Docentes
Docentes - Ensino médio - 2009,10,Docentes
Estabelecimentos de Saúde SUS,4,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,910634927,Reais
Despesas orçamentárias empenhadas - Correntes,561997856,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398906339,Reais
Número de unidades locais,108,Unidades
Pessoal ocupado total,521,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

