CORONEL BARROS  código:430587

Descrição,Valor,Unidade
Total de endereços urbanos,596,endereços
Total de endereços rurais,675,endereços
Total de estabelecimentos de ensino,2,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,873,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,745,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,873,domicílios
População residente ,2459,pessoas
População residente - Homens,1219,pessoas
População residente - Mulheres,1240,pessoas
População residente alfabetizada,2264,pessoas
População residente - cor ou raça - Branca,2133,pessoas
População residente - cor ou raça - Preta,48,pessoas
População residente - cor ou raça - Parda,267,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,47,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,3,pessoas
Área da unidade territorial,162.949,Km²
Eleitorado,2080,Eleitores
PIB per capita a preços correntes,18023.85,Reais
Matrícula - Ensino fundamental - 2009,264,Matrículas
Matrícula - Ensino médio - 2009,88,Matrículas
Docentes - Ensino fundamental - 2009,17,Docentes
Docentes - Ensino médio - 2009,13,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,811995122,Reais
Despesas orçamentárias empenhadas - Correntes,577505609,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398936033,Reais
Número de unidades locais,101,Unidades
Pessoal ocupado total,324,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

