COTIPORÃ£  código:430595

Descrição,Valor,Unidade
Total de endereços urbanos,968,endereços
Total de endereços rurais,816,endereços
Total de estabelecimentos de ensino,3,estabelecimentos
Total de estabelecimentos de saúde,7,estabelecimentos
Domicílios particulares permanentes,1246,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,758,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1245,domicílios
População residente ,3917,pessoas
População residente - Homens,2033,pessoas
População residente - Mulheres,1884,pessoas
População residente alfabetizada,3611,pessoas
População residente - cor ou raça - Branca,3710,pessoas
População residente - cor ou raça - Preta,45,pessoas
População residente - cor ou raça - Parda,162,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,39,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,172.376,Km²
Eleitorado,3320,Eleitores
PIB per capita a preços correntes,13996.02,Reais
Matrícula - Ensino fundamental - 2009,428,Matrículas
Matrícula - Ensino médio - 2009,128,Matrículas
Docentes - Ensino fundamental - 2009,38,Docentes
Docentes - Ensino médio - 2009,16,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,16,pessoas
Receitas orçamentárias realizadas - Correntes,952726100,Reais
Despesas orçamentárias empenhadas - Correntes,750527600,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917600,Reais
Número de unidades locais,217,Unidades
Pessoal ocupado total,858,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

