COXILHA  código:430597

Descrição,Valor,Unidade
Total de endereços urbanos,754,endereços
Total de endereços rurais,501,endereços
Total de estabelecimentos de ensino,5,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,935,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,754,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,934,domicílios
População residente ,2826,pessoas
População residente - Homens,1388,pessoas
População residente - Mulheres,1438,pessoas
População residente alfabetizada,2449,pessoas
População residente - cor ou raça - Branca,2371,pessoas
População residente - cor ou raça - Preta,109,pessoas
População residente - cor ou raça - Parda,320,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,49,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,3,pessoas
Área da unidade territorial,422.790,Km²
Eleitorado,2317,Eleitores
PIB per capita a preços correntes,16058.04,Reais
Matrícula - Ensino fundamental - 2009,463,Matrículas
Matrícula - Ensino médio - 2009,98,Matrículas
Docentes - Ensino fundamental - 2009,37,Docentes
Docentes - Ensino médio - 2009,16,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,906824924,Reais
Despesas orçamentárias empenhadas - Correntes,656136687,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,79,Unidades
Pessoal ocupado total,469,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

