CRISSIUMAL  código:430600

Descrição,Valor,Unidade
Total de endereços urbanos,2986,endereços
Total de endereços rurais,3195,endereços
Total de estabelecimentos de ensino,20,estabelecimentos
Total de estabelecimentos de saúde,10,estabelecimentos
Domicílios particulares permanentes,4902,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,3977,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,4880,domicílios
População residente ,14084,pessoas
População residente - Homens,6913,pessoas
População residente - Mulheres,7171,pessoas
População residente alfabetizada,12654,pessoas
População residente - cor ou raça - Branca,12657,pessoas
População residente - cor ou raça - Preta,108,pessoas
População residente - cor ou raça - Parda,1311,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,455,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,362.151,Km²
Eleitorado,11415,Eleitores
PIB per capita a preços correntes,10106.63,Reais
Matrícula - Ensino fundamental - 2009,1945,Matrículas
Matrícula - Ensino médio - 2009,594,Matrículas
Docentes - Ensino fundamental - 2009,143,Docentes
Docentes - Ensino médio - 2009,41,Docentes
Estabelecimentos de Saúde SUS,7,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,113,pessoas
Receitas orçamentárias realizadas - Correntes,1919792833,Reais
Despesas orçamentárias empenhadas - Correntes,1567959158,Reais
Valor do Fundo de Participação dos Municípios  - FPM,664862595,Reais
Número de unidades locais,555,Unidades
Pessoal ocupado total,2641,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

