CRISTAL DO SUL  código:430607

Descrição,Valor,Unidade
Total de endereços urbanos,489,endereços
Total de endereços rurais,757,endereços
Total de estabelecimentos de ensino,6,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,954,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,798,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,947,domicílios
População residente ,2826,pessoas
População residente - Homens,1441,pessoas
População residente - Mulheres,1385,pessoas
População residente alfabetizada,2328,pessoas
População residente - cor ou raça - Branca,2118,pessoas
População residente - cor ou raça - Preta,56,pessoas
População residente - cor ou raça - Parda,651,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,284,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,97.715,Km²
Eleitorado,2302,Eleitores
PIB per capita a preços correntes,9930.16,Reais
Matrícula - Ensino fundamental - 2009,436,Matrículas
Matrícula - Ensino médio - 2009,104,Matrículas
Docentes - Ensino fundamental - 2009,44,Docentes
Docentes - Ensino médio - 2009,15,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,684154221,Reais
Despesas orçamentárias empenhadas - Correntes,508066096,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917554,Reais
Número de unidades locais,68,Unidades
Pessoal ocupado total,253,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

