CRISTAL  código:430605

Descrição,Valor,Unidade
Total de endereços urbanos,1897,endereços
Total de endereços rurais,1327,endereços
Total de estabelecimentos de ensino,6,estabelecimentos
Total de estabelecimentos de saúde,9,estabelecimentos
Domicílios particulares permanentes,2346,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1541,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2297,domicílios
População residente ,7280,pessoas
População residente - Homens,3686,pessoas
População residente - Mulheres,3594,pessoas
População residente alfabetizada,6093,pessoas
População residente - cor ou raça - Branca,6052,pessoas
População residente - cor ou raça - Preta,702,pessoas
População residente - cor ou raça - Parda,521,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,132,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,4,pessoas
Área da unidade territorial,681.628,Km²
Eleitorado,5601,Eleitores
PIB per capita a preços correntes,10369.18,Reais
Matrícula - Ensino fundamental - 2009,1229,Matrículas
Matrícula - Ensino médio - 2009,232,Matrículas
Docentes - Ensino fundamental - 2009,67,Docentes
Docentes - Ensino médio - 2009,16,Docentes
Estabelecimentos de Saúde SUS,5,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,71,pessoas
Receitas orçamentárias realizadas - Correntes,1101154158,Reais
Despesas orçamentárias empenhadas - Correntes,891307045,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,236,Unidades
Pessoal ocupado total,1531,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

