CRUZ ALTA  código:430610

Descrição,Valor,Unidade
Total de endereços urbanos,25949,endereços
Total de endereços rurais,1042,endereços
Total de estabelecimentos de ensino,78,estabelecimentos
Total de estabelecimentos de saúde,56,estabelecimentos
Domicílios particulares permanentes,21283,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,19987,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,21166,domicílios
População residente ,62821,pessoas
População residente - Homens,29743,pessoas
População residente - Mulheres,33078,pessoas
População residente alfabetizada,55525,pessoas
População residente - cor ou raça - Branca,53733,pessoas
População residente - cor ou raça - Preta,2204,pessoas
População residente - cor ou raça - Parda,6594,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,802,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,65,pessoas
Área da unidade territorial,1360.376,Km²
Eleitorado,48971,Eleitores
PIB per capita a preços correntes,19129.66,Reais
Matrícula - Ensino fundamental - 2009,9546,Matrículas
Matrícula - Ensino médio - 2009,2495,Matrículas
Docentes - Ensino fundamental - 2009,526,Docentes
Docentes - Ensino médio - 2009,205,Docentes
Estabelecimentos de Saúde SUS,32,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,999,pessoas
Receitas orçamentárias realizadas - Correntes,7048250031,Reais
Despesas orçamentárias empenhadas - Correntes,5837651863,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1596038491,Reais
Número de unidades locais,2153,Unidades
Pessoal ocupado total,12812,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

