CRUZALTENSE  código:430613

Descrição,Valor,Unidade
Total de endereços urbanos,267,endereços
Total de endereços rurais,604,endereços
Total de estabelecimentos de ensino,2,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,681,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,430,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,676,domicílios
População residente ,2141,pessoas
População residente - Homens,1101,pessoas
População residente - Mulheres,1040,pessoas
População residente alfabetizada,1901,pessoas
População residente - cor ou raça - Branca,1942,pessoas
População residente - cor ou raça - Preta,93,pessoas
População residente - cor ou raça - Parda,97,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,86,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,166.883,Km²
Eleitorado,1918,Eleitores
PIB per capita a preços correntes,13580.99,Reais
Matrícula - Ensino fundamental - 2009,298,Matrículas
Matrícula - Ensino médio - 2009,91,Matrículas
Docentes - Ensino fundamental - 2009,29,Docentes
Docentes - Ensino médio - 2009,9,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,728003604,Reais
Despesas orçamentárias empenhadas - Correntes,529822159,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,35,Unidades
Pessoal ocupado total,174,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

