CÃ¢NDIDO GODÃ³I  código:430430

Descrição,Valor,Unidade
Total de endereços urbanos,886,endereços
Total de endereços rurais,1887,endereços
Total de estabelecimentos de ensino,5,estabelecimentos
Total de estabelecimentos de saúde,11,estabelecimentos
Domicílios particulares permanentes,2159,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,2040,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2153,domicílios
População residente ,6535,pessoas
População residente - Homens,3318,pessoas
População residente - Mulheres,3217,pessoas
População residente alfabetizada,5956,pessoas
População residente - cor ou raça - Branca,6381,pessoas
População residente - cor ou raça - Preta,15,pessoas
População residente - cor ou raça - Parda,137,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,262,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,3,pessoas
Área da unidade territorial,246.277,Km²
Eleitorado,5398,Eleitores
PIB per capita a preços correntes,13644.44,Reais
Matrícula - Ensino fundamental - 2009,773,Matrículas
Matrícula - Ensino médio - 2009,273,Matrículas
Docentes - Ensino fundamental - 2009,61,Docentes
Docentes - Ensino médio - 2009,27,Docentes
Estabelecimentos de Saúde SUS,7,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,53,pessoas
Receitas orçamentárias realizadas - Correntes,1067904319,Reais
Despesas orçamentárias empenhadas - Correntes,859584449,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,331,Unidades
Pessoal ocupado total,868,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

