DAVID CANABARRO  código:430630

Descrição,Valor,Unidade
Total de endereços urbanos,931,endereços
Total de endereços rurais,983,endereços
Total de estabelecimentos de ensino,11,estabelecimentos
Total de estabelecimentos de saúde,6,estabelecimentos
Domicílios particulares permanentes,1508,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1176,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1508,domicílios
População residente ,4683,pessoas
População residente - Homens,2410,pessoas
População residente - Mulheres,2273,pessoas
População residente alfabetizada,4126,pessoas
População residente - cor ou raça - Branca,4164,pessoas
População residente - cor ou raça - Preta,114,pessoas
População residente - cor ou raça - Parda,403,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,43,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,174.940,Km²
Eleitorado,3784,Eleitores
PIB per capita a preços correntes,16503.39,Reais
Matrícula - Ensino fundamental - 2009,640,Matrículas
Matrícula - Ensino médio - 2009,235,Matrículas
Docentes - Ensino fundamental - 2009,69,Docentes
Docentes - Ensino médio - 2009,29,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,62,pessoas
Receitas orçamentárias realizadas - Correntes,880892614,Reais
Despesas orçamentárias empenhadas - Correntes,670187289,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,235,Unidades
Pessoal ocupado total,825,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

