DERRUBADAS  código:430632

Descrição,Valor,Unidade
Total de endereços urbanos,407,endereços
Total de endereços rurais,861,endereços
Total de estabelecimentos de ensino,12,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,1055,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,792,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1046,domicílios
População residente ,3190,pessoas
População residente - Homens,1604,pessoas
População residente - Mulheres,1586,pessoas
População residente alfabetizada,2748,pessoas
População residente - cor ou raça - Branca,2540,pessoas
População residente - cor ou raça - Preta,79,pessoas
População residente - cor ou raça - Parda,543,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,108,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,3,pessoas
Área da unidade territorial,361.286,Km²
Eleitorado,2595,Eleitores
PIB per capita a preços correntes,12797.41,Reais
Matrícula - Ensino fundamental - 2009,556,Matrículas
Matrícula - Ensino médio - 2009,120,Matrículas
Docentes - Ensino fundamental - 2009,64,Docentes
Docentes - Ensino médio - 2009,12,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,866102698,Reais
Despesas orçamentárias empenhadas - Correntes,674344314,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,94,Unidades
Pessoal ocupado total,226,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

