DILERMANDO DE AGUIAR  código:430637

Descrição,Valor,Unidade
Total de endereços urbanos,511,endereços
Total de endereços rurais,1128,endereços
Total de estabelecimentos de ensino,4,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,1091,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,382,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1078,domicílios
População residente ,3064,pessoas
População residente - Homens,1579,pessoas
População residente - Mulheres,1485,pessoas
População residente alfabetizada,2485,pessoas
População residente - cor ou raça - Branca,2307,pessoas
População residente - cor ou raça - Preta,115,pessoas
População residente - cor ou raça - Parda,603,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,147,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,4,pessoas
Área da unidade territorial,600.549,Km²
Eleitorado,2407,Eleitores
PIB per capita a preços correntes,15841.38,Reais
Matrícula - Ensino fundamental - 2009,477,Matrículas
Matrícula - Ensino médio - 2009,92,Matrículas
Docentes - Ensino fundamental - 2009,40,Docentes
Docentes - Ensino médio - 2009,15,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,22,pessoas
Receitas orçamentárias realizadas - Correntes,865414953,Reais
Despesas orçamentárias empenhadas - Correntes,631466666,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,54,Unidades
Pessoal ocupado total,244,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

