DOIS IRMÃ£OS DAS MISSÃµES  código:430642

Descrição,Valor,Unidade
Total de endereços urbanos,482,endereços
Total de endereços rurais,461,endereços
Total de estabelecimentos de ensino,6,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,714,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,572,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,705,domicílios
População residente ,2157,pessoas
População residente - Homens,1080,pessoas
População residente - Mulheres,1077,pessoas
População residente alfabetizada,1764,pessoas
População residente - cor ou raça - Branca,1471,pessoas
População residente - cor ou raça - Preta,241,pessoas
População residente - cor ou raça - Parda,417,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,90,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,225.681,Km²
Eleitorado,1926,Eleitores
PIB per capita a preços correntes,18539.54,Reais
Matrícula - Ensino fundamental - 2009,387,Matrículas
Matrícula - Ensino médio - 2009,132,Matrículas
Docentes - Ensino fundamental - 2009,37,Docentes
Docentes - Ensino médio - 2009,16,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,820065142,Reais
Despesas orçamentárias empenhadas - Correntes,570591625,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,38,Unidades
Pessoal ocupado total,231,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

