DOM PEDRITO  código:430660

Descrição,Valor,Unidade
Total de endereços urbanos,14690,endereços
Total de endereços rurais,2537,endereços
Total de estabelecimentos de ensino,66,estabelecimentos
Total de estabelecimentos de saúde,33,estabelecimentos
Domicílios particulares permanentes,13132,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,11846,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,13040,domicílios
População residente ,38898,pessoas
População residente - Homens,19107,pessoas
População residente - Mulheres,19791,pessoas
População residente alfabetizada,34027,pessoas
População residente - cor ou raça - Branca,30562,pessoas
População residente - cor ou raça - Preta,3210,pessoas
População residente - cor ou raça - Parda,4992,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,729,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,31,pessoas
Área da unidade territorial,5192.120,Km²
Eleitorado,29594,Eleitores
PIB per capita a preços correntes,15468.31,Reais
Matrícula - Ensino fundamental - 2009,6225,Matrículas
Matrícula - Ensino médio - 2009,1675,Matrículas
Docentes - Ensino fundamental - 2009,388,Docentes
Docentes - Ensino médio - 2009,94,Docentes
Estabelecimentos de Saúde SUS,17,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,486,pessoas
Receitas orçamentárias realizadas - Correntes,5243584047,Reais
Despesas orçamentárias empenhadas - Correntes,4249608983,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1196752670,Reais
Número de unidades locais,1473,Unidades
Pessoal ocupado total,6253,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

