DOM PEDRO DE ALCÃ¢NTARA  código:430655

Descrição,Valor,Unidade
Total de endereços urbanos,393,endereços
Total de endereços rurais,980,endereços
Total de estabelecimentos de ensino,6,estabelecimentos
Total de estabelecimentos de saúde,4,estabelecimentos
Domicílios particulares permanentes,952,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,593,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,950,domicílios
População residente ,2550,pessoas
População residente - Homens,1341,pessoas
População residente - Mulheres,1209,pessoas
População residente alfabetizada,2311,pessoas
População residente - cor ou raça - Branca,2488,pessoas
População residente - cor ou raça - Preta,29,pessoas
População residente - cor ou raça - Parda,26,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,66,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,78.158,Km²
Eleitorado,2637,Eleitores
PIB per capita a preços correntes,6577.94,Reais
Matrícula - Ensino fundamental - 2009,283,Matrículas
Matrícula - Ensino médio - 2009,86,Matrículas
Docentes - Ensino fundamental - 2009,24,Docentes
Docentes - Ensino médio - 2009,13,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,717410368,Reais
Despesas orçamentárias empenhadas - Correntes,493127658,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,66,Unidades
Pessoal ocupado total,348,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

