DONA FRANCISCA  código:430670

Descrição,Valor,Unidade
Total de endereços urbanos,961,endereços
Total de endereços rurais,457,endereços
Total de estabelecimentos de ensino,7,estabelecimentos
Total de estabelecimentos de saúde,8,estabelecimentos
Domicílios particulares permanentes,1115,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,681,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1102,domicílios
População residente ,3401,pessoas
População residente - Homens,1678,pessoas
População residente - Mulheres,1723,pessoas
População residente alfabetizada,2981,pessoas
População residente - cor ou raça - Branca,2688,pessoas
População residente - cor ou raça - Preta,176,pessoas
População residente - cor ou raça - Parda,532,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,146,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,114.346,Km²
Eleitorado,2908,Eleitores
PIB per capita a preços correntes,11078.36,Reais
Matrícula - Ensino fundamental - 2009,486,Matrículas
Matrícula - Ensino médio - 2009,122,Matrículas
Docentes - Ensino fundamental - 2009,32,Docentes
Docentes - Ensino médio - 2009,18,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,46,pessoas
Receitas orçamentárias realizadas - Correntes,809772756,Reais
Despesas orçamentárias empenhadas - Correntes,646035194,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,176,Unidades
Pessoal ocupado total,470,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

