DOUTOR MAURÃ­CIO CARDOSO  código:430673

Descrição,Valor,Unidade
Total de endereços urbanos,1237,endereços
Total de endereços rurais,1477,endereços
Total de estabelecimentos de ensino,3,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,1888,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1530,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1882,domicílios
População residente ,5313,pessoas
População residente - Homens,2646,pessoas
População residente - Mulheres,2667,pessoas
População residente alfabetizada,4748,pessoas
População residente - cor ou raça - Branca,4448,pessoas
População residente - cor ou raça - Preta,43,pessoas
População residente - cor ou raça - Parda,802,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,246,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,252.690,Km²
Eleitorado,4417,Eleitores
PIB per capita a preços correntes,15958.76,Reais
Matrícula - Ensino fundamental - 2009,715,Matrículas
Matrícula - Ensino médio - 2009,210,Matrículas
Docentes - Ensino fundamental - 2009,56,Docentes
Docentes - Ensino médio - 2009,23,Docentes
Estabelecimentos de Saúde SUS,4,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,49,pessoas
Receitas orçamentárias realizadas - Correntes,1064279800,Reais
Despesas orçamentárias empenhadas - Correntes,888408600,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398903300,Reais
Número de unidades locais,145,Unidades
Pessoal ocupado total,557,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

