DOUTOR RICARDO  código:430675

Descrição,Valor,Unidade
Total de endereços urbanos,346,endereços
Total de endereços rurais,573,endereços
Total de estabelecimentos de ensino,3,estabelecimentos
Total de estabelecimentos de saúde,6,estabelecimentos
Domicílios particulares permanentes,642,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,507,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,640,domicílios
População residente ,2030,pessoas
População residente - Homens,1035,pessoas
População residente - Mulheres,995,pessoas
População residente alfabetizada,1803,pessoas
População residente - cor ou raça - Branca,1866,pessoas
População residente - cor ou raça - Preta,54,pessoas
População residente - cor ou raça - Parda,107,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,29,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,108.434,Km²
Eleitorado,1907,Eleitores
PIB per capita a preços correntes,12590.20,Reais
Matrícula - Ensino fundamental - 2009,248,Matrículas
Matrícula - Ensino médio - 2009,96,Matrículas
Docentes - Ensino fundamental - 2009,24,Docentes
Docentes - Ensino médio - 2009,14,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,715165440,Reais
Despesas orçamentárias empenhadas - Correntes,558354466,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917539,Reais
Número de unidades locais,104,Unidades
Pessoal ocupado total,404,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

