ELDORADO DO SUL  código:430676

Descrição,Valor,Unidade
Total de endereços urbanos,13327,endereços
Total de endereços rurais,1689,endereços
Total de estabelecimentos de ensino,29,estabelecimentos
Total de estabelecimentos de saúde,21,estabelecimentos
Domicílios particulares permanentes,10992,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,9129,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,10952,domicílios
População residente ,34343,pessoas
População residente - Homens,16999,pessoas
População residente - Mulheres,17344,pessoas
População residente alfabetizada,29747,pessoas
População residente - cor ou raça - Branca,27947,pessoas
População residente - cor ou raça - Preta,2198,pessoas
População residente - cor ou raça - Parda,3973,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,438,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,17,pessoas
Área da unidade territorial,509.728,Km²
Eleitorado,21151,Eleitores
PIB per capita a preços correntes,13360.15,Reais
Matrícula - Ensino fundamental - 2009,5555,Matrículas
Matrícula - Ensino médio - 2009,1161,Matrículas
Docentes - Ensino fundamental - 2009,232,Docentes
Docentes - Ensino médio - 2009,41,Docentes
Estabelecimentos de Saúde SUS,6,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,382,pessoas
Receitas orçamentárias realizadas - Correntes,6998672612,Reais
Despesas orçamentárias empenhadas - Correntes,5512276042,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1063780161,Reais
Número de unidades locais,951,Unidades
Pessoal ocupado total,12018,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

