ENCANTADO  código:430680

Descrição,Valor,Unidade
Total de endereços urbanos,8195,endereços
Total de endereços rurais,1291,endereços
Total de estabelecimentos de ensino,28,estabelecimentos
Total de estabelecimentos de saúde,39,estabelecimentos
Domicílios particulares permanentes,7075,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,6577,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,7073,domicílios
População residente ,20510,pessoas
População residente - Homens,9932,pessoas
População residente - Mulheres,10578,pessoas
População residente alfabetizada,18634,pessoas
População residente - cor ou raça - Branca,18375,pessoas
População residente - cor ou raça - Preta,574,pessoas
População residente - cor ou raça - Parda,1516,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,112,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,19,pessoas
Área da unidade territorial,139.160,Km²
Eleitorado,15247,Eleitores
PIB per capita a preços correntes,18706.16,Reais
Matrícula - Ensino fundamental - 2009,2437,Matrículas
Matrícula - Ensino médio - 2009,793,Matrículas
Docentes - Ensino fundamental - 2009,180,Docentes
Docentes - Ensino médio - 2009,56,Docentes
Estabelecimentos de Saúde SUS,17,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,225,pessoas
Receitas orçamentárias realizadas - Correntes,3172570809,Reais
Despesas orçamentárias empenhadas - Correntes,2405810623,Reais
Valor do Fundo de Participação dos Municípios  - FPM,797867462,Reais
Número de unidades locais,1185,Unidades
Pessoal ocupado total,7654,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

