ENCRUZILHADA DO SUL  código:430690

Descrição,Valor,Unidade
Total de endereços urbanos,8040,endereços
Total de endereços rurais,4106,endereços
Total de estabelecimentos de ensino,47,estabelecimentos
Total de estabelecimentos de saúde,30,estabelecimentos
Domicílios particulares permanentes,8472,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,5767,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,8370,domicílios
População residente ,24534,pessoas
População residente - Homens,12322,pessoas
População residente - Mulheres,12212,pessoas
População residente alfabetizada,20331,pessoas
População residente - cor ou raça - Branca,19151,pessoas
População residente - cor ou raça - Preta,2164,pessoas
População residente - cor ou raça - Parda,2916,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,712,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,10,pessoas
Área da unidade territorial,3348.333,Km²
Eleitorado,19371,Eleitores
PIB per capita a preços correntes,8347.74,Reais
Matrícula - Ensino fundamental - 2009,4252,Matrículas
Matrícula - Ensino médio - 2009,967,Matrículas
Docentes - Ensino fundamental - 2009,245,Docentes
Docentes - Ensino médio - 2009,63,Docentes
Estabelecimentos de Saúde SUS,13,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,277,pessoas
Receitas orçamentárias realizadas - Correntes,3283094281,Reais
Despesas orçamentárias empenhadas - Correntes,2849134741,Reais
Valor do Fundo de Participação dos Municípios  - FPM,930792589,Reais
Número de unidades locais,1021,Unidades
Pessoal ocupado total,3578,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

