ENTRE RIOS DO SUL  código:430695

Descrição,Valor,Unidade
Total de endereços urbanos,981,endereços
Total de endereços rurais,380,endereços
Total de estabelecimentos de ensino,5,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,1051,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,886,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1050,domicílios
População residente ,3080,pessoas
População residente - Homens,1556,pessoas
População residente - Mulheres,1524,pessoas
População residente alfabetizada,2620,pessoas
População residente - cor ou raça - Branca,2341,pessoas
População residente - cor ou raça - Preta,102,pessoas
População residente - cor ou raça - Parda,613,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,104,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,120.068,Km²
Eleitorado,2492,Eleitores
PIB per capita a preços correntes,27265.63,Reais
Matrícula - Ensino fundamental - 2009,483,Matrículas
Matrícula - Ensino médio - 2009,117,Matrículas
Docentes - Ensino fundamental - 2009,44,Docentes
Docentes - Ensino médio - 2009,14,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,1046999308,Reais
Despesas orçamentárias empenhadas - Correntes,782775744,Reais
Valor do Fundo de Participação dos Municípios  - FPM,406445299,Reais
Número de unidades locais,130,Unidades
Pessoal ocupado total,499,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

