ENTRE-IJUÃ­S  código:430693

Descrição,Valor,Unidade
Total de endereços urbanos,2064,endereços
Total de endereços rurais,2040,endereços
Total de estabelecimentos de ensino,16,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,3061,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,2374,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,3046,domicílios
População residente ,8938,pessoas
População residente - Homens,4415,pessoas
População residente - Mulheres,4523,pessoas
População residente alfabetizada,7839,pessoas
População residente - cor ou raça - Branca,8002,pessoas
População residente - cor ou raça - Preta,121,pessoas
População residente - cor ou raça - Parda,800,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,256,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,552.603,Km²
Eleitorado,6963,Eleitores
PIB per capita a preços correntes,14453.16,Reais
Matrícula - Ensino fundamental - 2009,1223,Matrículas
Matrícula - Ensino médio - 2009,316,Matrículas
Docentes - Ensino fundamental - 2009,81,Docentes
Docentes - Ensino médio - 2009,24,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,113,pessoas
Receitas orçamentárias realizadas - Correntes,1336127454,Reais
Despesas orçamentárias empenhadas - Correntes,1017157652,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917563,Reais
Número de unidades locais,314,Unidades
Pessoal ocupado total,1011,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

