EREBANGO  código:430697

Descrição,Valor,Unidade
Total de endereços urbanos,814,endereços
Total de endereços rurais,329,endereços
Total de estabelecimentos de ensino,5,estabelecimentos
Total de estabelecimentos de saúde,4,estabelecimentos
Domicílios particulares permanentes,935,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,647,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,930,domicílios
População residente ,2970,pessoas
População residente - Homens,1490,pessoas
População residente - Mulheres,1480,pessoas
População residente alfabetizada,2585,pessoas
População residente - cor ou raça - Branca,2112,pessoas
População residente - cor ou raça - Preta,67,pessoas
População residente - cor ou raça - Parda,519,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,77,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,153.123,Km²
Eleitorado,2372,Eleitores
PIB per capita a preços correntes,16471.99,Reais
Matrícula - Ensino fundamental - 2009,496,Matrículas
Matrícula - Ensino médio - 2009,108,Matrículas
Docentes - Ensino fundamental - 2009,38,Docentes
Docentes - Ensino médio - 2009,10,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,15,pessoas
Receitas orçamentárias realizadas - Correntes,888075929,Reais
Despesas orçamentárias empenhadas - Correntes,651907761,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,71,Unidades
Pessoal ocupado total,403,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

