ERECHIM  código:430700

Descrição,Valor,Unidade
Total de endereços urbanos,38872,endereços
Total de endereços rurais,2343,endereços
Total de estabelecimentos de ensino,65,estabelecimentos
Total de estabelecimentos de saúde,101,estabelecimentos
Domicílios particulares permanentes,33097,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,31734,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,33061,domicílios
População residente ,96087,pessoas
População residente - Homens,46224,pessoas
População residente - Mulheres,49863,pessoas
População residente alfabetizada,86616,pessoas
População residente - cor ou raça - Branca,81729,pessoas
População residente - cor ou raça - Preta,2165,pessoas
População residente - cor ou raça - Parda,11827,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,476,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,86,pessoas
Área da unidade territorial,430.670,Km²
Eleitorado,67735,Eleitores
PIB per capita a preços correntes,20395.86,Reais
Matrícula - Ensino fundamental - 2009,12697,Matrículas
Matrícula - Ensino médio - 2009,4134,Matrículas
Docentes - Ensino fundamental - 2009,738,Docentes
Docentes - Ensino médio - 2009,348,Docentes
Estabelecimentos de Saúde SUS,37,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,1421,pessoas
Receitas orçamentárias realizadas - Correntes,11388434894,Reais
Despesas orçamentárias empenhadas - Correntes,8818277329,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1994587798,Reais
Número de unidades locais,5421,Unidades
Pessoal ocupado total,43273,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

