ERNESTINA  código:430705

Descrição,Valor,Unidade
Total de endereços urbanos,955,endereços
Total de endereços rurais,744,endereços
Total de estabelecimentos de ensino,4,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,1082,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,905,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1080,domicílios
População residente ,3088,pessoas
População residente - Homens,1562,pessoas
População residente - Mulheres,1526,pessoas
População residente alfabetizada,2710,pessoas
População residente - cor ou raça - Branca,2833,pessoas
População residente - cor ou raça - Preta,13,pessoas
População residente - cor ou raça - Parda,227,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,26,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,239.148,Km²
Eleitorado,2606,Eleitores
PIB per capita a preços correntes,19411.09,Reais
Matrícula - Ensino fundamental - 2009,427,Matrículas
Matrícula - Ensino médio - 2009,103,Matrículas
Docentes - Ensino fundamental - 2009,52,Docentes
Docentes - Ensino médio - 2009,13,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,15,pessoas
Receitas orçamentárias realizadas - Correntes,822537964,Reais
Despesas orçamentárias empenhadas - Correntes,637706812,Reais
Valor do Fundo de Participação dos Municípios  - FPM,397593966,Reais
Número de unidades locais,162,Unidades
Pessoal ocupado total,580,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

