ERVAL SECO  código:430730

Descrição,Valor,Unidade
Total de endereços urbanos,1671,endereços
Total de endereços rurais,1615,endereços
Total de estabelecimentos de ensino,16,estabelecimentos
Total de estabelecimentos de saúde,10,estabelecimentos
Domicílios particulares permanentes,2604,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1903,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2568,domicílios
População residente ,7878,pessoas
População residente - Homens,3920,pessoas
População residente - Mulheres,3958,pessoas
População residente alfabetizada,6493,pessoas
População residente - cor ou raça - Branca,5727,pessoas
População residente - cor ou raça - Preta,148,pessoas
População residente - cor ou raça - Parda,1725,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,444,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,4,pessoas
Área da unidade territorial,363.894,Km²
Eleitorado,6304,Eleitores
PIB per capita a preços correntes,11318.99,Reais
Matrícula - Ensino fundamental - 2009,1253,Matrículas
Matrícula - Ensino médio - 2009,242,Matrículas
Docentes - Ensino fundamental - 2009,103,Docentes
Docentes - Ensino médio - 2009,24,Docentes
Estabelecimentos de Saúde SUS,9,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,117,pessoas
Receitas orçamentárias realizadas - Correntes,1050178621,Reais
Despesas orçamentárias empenhadas - Correntes,885957462,Reais
Valor do Fundo de Participação dos Municípios  - FPM,399803765,Reais
Número de unidades locais,241,Unidades
Pessoal ocupado total,811,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

