ESMERALDA  código:430740

Descrição,Valor,Unidade
Total de endereços urbanos,1193,endereços
Total de endereços rurais,568,endereços
Total de estabelecimentos de ensino,2,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,1092,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,797,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1090,domicílios
População residente ,3168,pessoas
População residente - Homens,1572,pessoas
População residente - Mulheres,1596,pessoas
População residente alfabetizada,2693,pessoas
População residente - cor ou raça - Branca,2297,pessoas
População residente - cor ou raça - Preta,101,pessoas
População residente - cor ou raça - Parda,733,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,115,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,829.938,Km²
Eleitorado,2311,Eleitores
PIB per capita a preços correntes,19830.34,Reais
Matrícula - Ensino fundamental - 2009,548,Matrículas
Matrícula - Ensino médio - 2009,118,Matrículas
Docentes - Ensino fundamental - 2009,41,Docentes
Docentes - Ensino médio - 2009,12,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,49,pessoas
Receitas orçamentárias realizadas - Correntes,1050571500,Reais
Despesas orçamentárias empenhadas - Correntes,725891400,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917700,Reais
Número de unidades locais,163,Unidades
Pessoal ocupado total,490,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

