ESPERANÃ§A DO SUL  código:430745

Descrição,Valor,Unidade
Total de endereços urbanos,455,endereços
Total de endereços rurais,986,endereços
Total de estabelecimentos de ensino,18,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,1136,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,799,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1125,domicílios
População residente ,3272,pessoas
População residente - Homens,1650,pessoas
População residente - Mulheres,1622,pessoas
População residente alfabetizada,2810,pessoas
População residente - cor ou raça - Branca,2844,pessoas
População residente - cor ou raça - Preta,36,pessoas
População residente - cor ou raça - Parda,379,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,301,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,148.379,Km²
Eleitorado,2832,Eleitores
PIB per capita a preços correntes,9905.92,Reais
Matrícula - Ensino fundamental - 2009,454,Matrículas
Matrícula - Ensino médio - 2009,94,Matrículas
Docentes - Ensino fundamental - 2009,35,Docentes
Docentes - Ensino médio - 2009,11,Docentes
Estabelecimentos de Saúde SUS,5,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,38,pessoas
Receitas orçamentárias realizadas - Correntes,846181617,Reais
Despesas orçamentárias empenhadas - Correntes,671453579,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,95,Unidades
Pessoal ocupado total,252,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

