ESPUMOSO  código:430750

Descrição,Valor,Unidade
Total de endereços urbanos,4716,endereços
Total de endereços rurais,1556,endereços
Total de estabelecimentos de ensino,18,estabelecimentos
Total de estabelecimentos de saúde,38,estabelecimentos
Domicílios particulares permanentes,5093,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,4330,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,5058,domicílios
População residente ,15240,pessoas
População residente - Homens,7532,pessoas
População residente - Mulheres,7708,pessoas
População residente alfabetizada,13216,pessoas
População residente - cor ou raça - Branca,13241,pessoas
População residente - cor ou raça - Preta,325,pessoas
População residente - cor ou raça - Parda,1567,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,249,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,26,pessoas
Área da unidade territorial,783.069,Km²
Eleitorado,12174,Eleitores
PIB per capita a preços correntes,16226.28,Reais
Matrícula - Ensino fundamental - 2009,2100,Matrículas
Matrícula - Ensino médio - 2009,600,Matrículas
Docentes - Ensino fundamental - 2009,177,Docentes
Docentes - Ensino médio - 2009,70,Docentes
Estabelecimentos de Saúde SUS,12,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,233,pessoas
Receitas orçamentárias realizadas - Correntes,2230043120,Reais
Despesas orçamentárias empenhadas - Correntes,1910562330,Reais
Valor do Fundo de Participação dos Municípios  - FPM,664862595,Reais
Número de unidades locais,676,Unidades
Pessoal ocupado total,3155,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

