ESTAÃ§Ã£O  código:430755

Descrição,Valor,Unidade
Total de endereços urbanos,2265,endereços
Total de endereços rurais,338,endereços
Total de estabelecimentos de ensino,8,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,2022,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1709,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2022,domicílios
População residente ,6011,pessoas
População residente - Homens,2951,pessoas
População residente - Mulheres,3060,pessoas
População residente alfabetizada,5417,pessoas
População residente - cor ou raça - Branca,5228,pessoas
População residente - cor ou raça - Preta,241,pessoas
População residente - cor ou raça - Parda,536,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,87,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,5,pessoas
Área da unidade territorial,100.266,Km²
Eleitorado,5045,Eleitores
PIB per capita a preços correntes,17930.56,Reais
Matrícula - Ensino fundamental - 2009,741,Matrículas
Matrícula - Ensino médio - 2009,227,Matrículas
Docentes - Ensino fundamental - 2009,39,Docentes
Docentes - Ensino médio - 2009,14,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,60,pessoas
Receitas orçamentárias realizadas - Correntes,1081035875,Reais
Despesas orçamentárias empenhadas - Correntes,813763652,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,279,Unidades
Pessoal ocupado total,1679,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

