ESTEIO  código:430770

Descrição,Valor,Unidade
Total de endereços urbanos,32377,endereços
Total de endereços rurais,37,endereços
Total de estabelecimentos de ensino,45,estabelecimentos
Total de estabelecimentos de saúde,102,estabelecimentos
Domicílios particulares permanentes,26387,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,24487,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,26349,domicílios
População residente ,80755,pessoas
População residente - Homens,38973,pessoas
População residente - Mulheres,41782,pessoas
População residente alfabetizada,72216,pessoas
População residente - cor ou raça - Branca,69121,pessoas
População residente - cor ou raça - Preta,4813,pessoas
População residente - cor ou raça - Parda,6545,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,575,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,49,pessoas
Área da unidade territorial,27.676,Km²
Eleitorado,63003,Eleitores
PIB per capita a preços correntes,25344.95,Reais
Matrícula - Ensino fundamental - 2009,12449,Matrículas
Matrícula - Ensino médio - 2009,3240,Matrículas
Docentes - Ensino fundamental - 2009,631,Docentes
Docentes - Ensino médio - 2009,183,Docentes
Estabelecimentos de Saúde SUS,12,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,1047,pessoas
Receitas orçamentárias realizadas - Correntes,11694536597,Reais
Despesas orçamentárias empenhadas - Correntes,10007555760,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1728642761,Reais
Número de unidades locais,3487,Unidades
Pessoal ocupado total,23754,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

