ESTRELA VELHA  código:430781

Descrição,Valor,Unidade
Total de endereços urbanos,517,endereços
Total de endereços rurais,921,endereços
Total de estabelecimentos de ensino,10,estabelecimentos
Total de estabelecimentos de saúde,7,estabelecimentos
Domicílios particulares permanentes,1136,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,926,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1122,domicílios
População residente ,3628,pessoas
População residente - Homens,1846,pessoas
População residente - Mulheres,1782,pessoas
População residente alfabetizada,3120,pessoas
População residente - cor ou raça - Branca,3347,pessoas
População residente - cor ou raça - Preta,72,pessoas
População residente - cor ou raça - Parda,121,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,131,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,281.668,Km²
Eleitorado,3047,Eleitores
PIB per capita a preços correntes,18031.93,Reais
Matrícula - Ensino fundamental - 2009,566,Matrículas
Matrícula - Ensino médio - 2009,112,Matrículas
Docentes - Ensino fundamental - 2009,46,Docentes
Docentes - Ensino médio - 2009,9,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,1090833512,Reais
Despesas orçamentárias empenhadas - Correntes,807196356,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917558,Reais
Número de unidades locais,101,Unidades
Pessoal ocupado total,323,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

