ESTRELA  código:430780

Descrição,Valor,Unidade
Total de endereços urbanos,11193,endereços
Total de endereços rurais,2131,endereços
Total de estabelecimentos de ensino,33,estabelecimentos
Total de estabelecimentos de saúde,47,estabelecimentos
Domicílios particulares permanentes,10475,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,10014,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,10465,domicílios
População residente ,30619,pessoas
População residente - Homens,15119,pessoas
População residente - Mulheres,15500,pessoas
População residente alfabetizada,27735,pessoas
População residente - cor ou raça - Branca,27339,pessoas
População residente - cor ou raça - Preta,962,pessoas
População residente - cor ou raça - Parda,2139,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,205,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,36,pessoas
Área da unidade territorial,184.177,Km²
Eleitorado,22146,Eleitores
PIB per capita a preços correntes,18817.25,Reais
Matrícula - Ensino fundamental - 2009,4051,Matrículas
Matrícula - Ensino médio - 2009,1296,Matrículas
Docentes - Ensino fundamental - 2009,258,Docentes
Docentes - Ensino médio - 2009,112,Docentes
Estabelecimentos de Saúde SUS,17,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,460,pessoas
Receitas orçamentárias realizadas - Correntes,4476683130,Reais
Despesas orçamentárias empenhadas - Correntes,3632747777,Reais
Valor do Fundo de Participação dos Municípios  - FPM,891853771,Reais
Número de unidades locais,1505,Unidades
Pessoal ocupado total,11150,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

