ESTÃ¢NCIA VELHA  código:430760

Descrição,Valor,Unidade
Total de endereços urbanos,16907,endereços
Total de endereços rurais,433,endereços
Total de estabelecimentos de ensino,38,estabelecimentos
Total de estabelecimentos de saúde,31,estabelecimentos
Domicílios particulares permanentes,13917,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,8961,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,13904,domicílios
População residente ,42574,pessoas
População residente - Homens,21035,pessoas
População residente - Mulheres,21539,pessoas
População residente alfabetizada,38115,pessoas
População residente - cor ou raça - Branca,38466,pessoas
População residente - cor ou raça - Preta,1092,pessoas
População residente - cor ou raça - Parda,2889,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,205,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,19,pessoas
Área da unidade territorial,52.147,Km²
Eleitorado,27928,Eleitores
PIB per capita a preços correntes,12377.24,Reais
Matrícula - Ensino fundamental - 2009,6172,Matrículas
Matrícula - Ensino médio - 2009,1718,Matrículas
Docentes - Ensino fundamental - 2009,284,Docentes
Docentes - Ensino médio - 2009,91,Docentes
Estabelecimentos de Saúde SUS,14,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,541,pessoas
Receitas orçamentárias realizadas - Correntes,6462604134,Reais
Despesas orçamentárias empenhadas - Correntes,5017203806,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1199411288,Reais
Número de unidades locais,2078,Unidades
Pessoal ocupado total,13997,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

