FAGUNDES VARELA  código:430786

Descrição,Valor,Unidade
Total de endereços urbanos,640,endereços
Total de endereços rurais,556,endereços
Total de estabelecimentos de ensino,2,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,763,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,462,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,762,domicílios
População residente ,2579,pessoas
População residente - Homens,1300,pessoas
População residente - Mulheres,1279,pessoas
População residente alfabetizada,2359,pessoas
População residente - cor ou raça - Branca,2458,pessoas
População residente - cor ou raça - Preta,32,pessoas
População residente - cor ou raça - Parda,78,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,29,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,134.296,Km²
Eleitorado,2059,Eleitores
PIB per capita a preços correntes,14797.27,Reais
Matrícula - Ensino fundamental - 2009,283,Matrículas
Matrícula - Ensino médio - 2009,87,Matrículas
Docentes - Ensino fundamental - 2009,22,Docentes
Docentes - Ensino médio - 2009,11,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,17,pessoas
Receitas orçamentárias realizadas - Correntes,887498802,Reais
Despesas orçamentárias empenhadas - Correntes,679423732,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,144,Unidades
Pessoal ocupado total,708,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

