FARROUPILHA  código:430790

Descrição,Valor,Unidade
Total de endereços urbanos,23243,endereços
Total de endereços rurais,3695,endereços
Total de estabelecimentos de ensino,64,estabelecimentos
Total de estabelecimentos de saúde,131,estabelecimentos
Domicílios particulares permanentes,20573,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,17454,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,20556,domicílios
População residente ,63635,pessoas
População residente - Homens,31303,pessoas
População residente - Mulheres,32332,pessoas
População residente alfabetizada,57735,pessoas
População residente - cor ou raça - Branca,55460,pessoas
População residente - cor ou raça - Preta,1729,pessoas
População residente - cor ou raça - Parda,5962,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,191,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,60,pessoas
Área da unidade territorial,360.392,Km²
Eleitorado,45439,Eleitores
PIB per capita a preços correntes,20392.38,Reais
Matrícula - Ensino fundamental - 2009,8600,Matrículas
Matrícula - Ensino médio - 2009,2427,Matrículas
Docentes - Ensino fundamental - 2009,469,Docentes
Docentes - Ensino médio - 2009,125,Docentes
Estabelecimentos de Saúde SUS,16,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,739,pessoas
Receitas orçamentárias realizadas - Correntes,10025483005,Reais
Despesas orçamentárias empenhadas - Correntes,8066428466,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1595715109,Reais
Número de unidades locais,3757,Unidades
Pessoal ocupado total,27554,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

