FAXINAL DO SOTURNO  código:430800

Descrição,Valor,Unidade
Total de endereços urbanos,1950,endereços
Total de endereços rurais,931,endereços
Total de estabelecimentos de ensino,17,estabelecimentos
Total de estabelecimentos de saúde,19,estabelecimentos
Domicílios particulares permanentes,2159,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1463,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2149,domicílios
População residente ,6672,pessoas
População residente - Homens,3274,pessoas
População residente - Mulheres,3398,pessoas
População residente alfabetizada,5952,pessoas
População residente - cor ou raça - Branca,5354,pessoas
População residente - cor ou raça - Preta,405,pessoas
População residente - cor ou raça - Parda,909,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,166,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,4,pessoas
Área da unidade territorial,169.903,Km²
Eleitorado,5640,Eleitores
PIB per capita a preços correntes,13433.62,Reais
Matrícula - Ensino fundamental - 2009,945,Matrículas
Matrícula - Ensino médio - 2009,178,Matrículas
Docentes - Ensino fundamental - 2009,69,Docentes
Docentes - Ensino médio - 2009,19,Docentes
Estabelecimentos de Saúde SUS,4,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,78,pessoas
Receitas orçamentárias realizadas - Correntes,1037455910,Reais
Despesas orçamentárias empenhadas - Correntes,852339263,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,306,Unidades
Pessoal ocupado total,1340,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

