FAXINALZINHO  código:430805

Descrição,Valor,Unidade
Total de endereços urbanos,604,endereços
Total de endereços rurais,478,endereços
Total de estabelecimentos de ensino,7,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,853,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,516,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,839,domicílios
População residente ,2567,pessoas
População residente - Homens,1283,pessoas
População residente - Mulheres,1284,pessoas
População residente alfabetizada,2198,pessoas
População residente - cor ou raça - Branca,1962,pessoas
População residente - cor ou raça - Preta,122,pessoas
População residente - cor ou raça - Parda,287,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,95,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,143.382,Km²
Eleitorado,2257,Eleitores
PIB per capita a preços correntes,13018.52,Reais
Matrícula - Ensino fundamental - 2009,444,Matrículas
Matrícula - Ensino médio - 2009,123,Matrículas
Docentes - Ensino fundamental - 2009,38,Docentes
Docentes - Ensino médio - 2009,14,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,720260974,Reais
Despesas orçamentárias empenhadas - Correntes,558331004,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,69,Unidades
Pessoal ocupado total,222,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

