FAZENDA VILANOVA  código:430807

Descrição,Valor,Unidade
Total de endereços urbanos,943,endereços
Total de endereços rurais,877,endereços
Total de estabelecimentos de ensino,6,estabelecimentos
Total de estabelecimentos de saúde,4,estabelecimentos
Domicílios particulares permanentes,1270,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1115,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1262,domicílios
População residente ,3697,pessoas
População residente - Homens,1856,pessoas
População residente - Mulheres,1841,pessoas
População residente alfabetizada,3203,pessoas
População residente - cor ou raça - Branca,3359,pessoas
População residente - cor ou raça - Preta,206,pessoas
População residente - cor ou raça - Parda,122,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,49,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,3,pessoas
Área da unidade territorial,84.794,Km²
Eleitorado,2658,Eleitores
PIB per capita a preços correntes,33534.80,Reais
Matrícula - Ensino fundamental - 2009,519,Matrículas
Matrícula - Ensino médio - 2009,125,Matrículas
Docentes - Ensino fundamental - 2009,32,Docentes
Docentes - Ensino médio - 2009,11,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,997937600,Reais
Despesas orçamentárias empenhadas - Correntes,746870700,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398992000,Reais
Número de unidades locais,141,Unidades
Pessoal ocupado total,695,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

