FONTOURA XAVIER  código:430830

Descrição,Valor,Unidade
Total de endereços urbanos,2013,endereços
Total de endereços rurais,2450,endereços
Total de estabelecimentos de ensino,32,estabelecimentos
Total de estabelecimentos de saúde,9,estabelecimentos
Domicílios particulares permanentes,3378,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1794,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,3330,domicílios
População residente ,10719,pessoas
População residente - Homens,5461,pessoas
População residente - Mulheres,5258,pessoas
População residente alfabetizada,8336,pessoas
População residente - cor ou raça - Branca,7646,pessoas
População residente - cor ou raça - Preta,158,pessoas
População residente - cor ou raça - Parda,2827,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,458,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,7,pessoas
Área da unidade territorial,583.467,Km²
Eleitorado,8468,Eleitores
PIB per capita a preços correntes,8374.05,Reais
Matrícula - Ensino fundamental - 2009,1849,Matrículas
Matrícula - Ensino médio - 2009,507,Matrículas
Docentes - Ensino fundamental - 2009,142,Docentes
Docentes - Ensino médio - 2009,34,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,119,pessoas
Receitas orçamentárias realizadas - Correntes,1527445930,Reais
Despesas orçamentárias empenhadas - Correntes,1243832435,Reais
Valor do Fundo de Participação dos Municípios  - FPM,531914716,Reais
Número de unidades locais,253,Unidades
Pessoal ocupado total,1246,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

