FORMIGUEIRO  código:430840

Descrição,Valor,Unidade
Total de endereços urbanos,1339,endereços
Total de endereços rurais,1971,endereços
Total de estabelecimentos de ensino,20,estabelecimentos
Total de estabelecimentos de saúde,4,estabelecimentos
Domicílios particulares permanentes,2349,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1091,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2334,domicílios
População residente ,7014,pessoas
População residente - Homens,3570,pessoas
População residente - Mulheres,3444,pessoas
População residente alfabetizada,5919,pessoas
População residente - cor ou raça - Branca,5508,pessoas
População residente - cor ou raça - Preta,992,pessoas
População residente - cor ou raça - Parda,485,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,258,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,581.992,Km²
Eleitorado,5600,Eleitores
PIB per capita a preços correntes,11785.57,Reais
Matrícula - Ensino fundamental - 2009,979,Matrículas
Matrícula - Ensino médio - 2009,314,Matrículas
Docentes - Ensino fundamental - 2009,81,Docentes
Docentes - Ensino médio - 2009,17,Docentes
Estabelecimentos de Saúde SUS,5,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,47,pessoas
Receitas orçamentárias realizadas - Correntes,1086573985,Reais
Despesas orçamentárias empenhadas - Correntes,827279737,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398936034,Reais
Número de unidades locais,192,Unidades
Pessoal ocupado total,719,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

