FORQUETINHA  código:430843

Descrição,Valor,Unidade
Total de endereços urbanos,283,endereços
Total de endereços rurais,1032,endereços
Total de estabelecimentos de ensino,3,estabelecimentos
Total de estabelecimentos de saúde,4,estabelecimentos
Domicílios particulares permanentes,886,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,679,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,880,domicílios
População residente ,2479,pessoas
População residente - Homens,1265,pessoas
População residente - Mulheres,1214,pessoas
População residente alfabetizada,2231,pessoas
População residente - cor ou raça - Branca,2418,pessoas
População residente - cor ou raça - Preta,5,pessoas
População residente - cor ou raça - Parda,55,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,57,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,93.570,Km²
Eleitorado,2326,Eleitores
PIB per capita a preços correntes,11185.60,Reais
Matrícula - Ensino fundamental - 2009,279,Matrículas
Matrícula - Ensino médio - 2009,75,Matrículas
Docentes - Ensino fundamental - 2009,23,Docentes
Docentes - Ensino médio - 2009,7,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,779256259,Reais
Despesas orçamentárias empenhadas - Correntes,551323087,Reais
Valor do Fundo de Participação dos Municípios  - FPM,399663656,Reais
Número de unidades locais,71,Unidades
Pessoal ocupado total,407,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

