FORTALEZA DOS VALOS  código:430845

Descrição,Valor,Unidade
Total de endereços urbanos,1437,endereços
Total de endereços rurais,704,endereços
Total de estabelecimentos de ensino,7,estabelecimentos
Total de estabelecimentos de saúde,10,estabelecimentos
Domicílios particulares permanentes,1561,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1293,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1551,domicílios
População residente ,4575,pessoas
População residente - Homens,2241,pessoas
População residente - Mulheres,2334,pessoas
População residente alfabetizada,4026,pessoas
População residente - cor ou raça - Branca,4008,pessoas
População residente - cor ou raça - Preta,65,pessoas
População residente - cor ou raça - Parda,499,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,109,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,24,pessoas
Área da unidade territorial,650.328,Km²
Eleitorado,3686,Eleitores
PIB per capita a preços correntes,26053.23,Reais
Matrícula - Ensino fundamental - 2009,670,Matrículas
Matrícula - Ensino médio - 2009,205,Matrículas
Docentes - Ensino fundamental - 2009,54,Docentes
Docentes - Ensino médio - 2009,17,Docentes
Estabelecimentos de Saúde SUS,7,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,42,pessoas
Receitas orçamentárias realizadas - Correntes,1483091700,Reais
Despesas orçamentárias empenhadas - Correntes,1063445600,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398936000,Reais
Número de unidades locais,218,Unidades
Pessoal ocupado total,792,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

