FREDERICO WESTPHALEN  código:430850

Descrição,Valor,Unidade
Total de endereços urbanos,10319,endereços
Total de endereços rurais,2069,endereços
Total de estabelecimentos de ensino,44,estabelecimentos
Total de estabelecimentos de saúde,32,estabelecimentos
Domicílios particulares permanentes,9521,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,8443,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,9489,domicílios
População residente ,28843,pessoas
População residente - Homens,14128,pessoas
População residente - Mulheres,14715,pessoas
População residente alfabetizada,25595,pessoas
População residente - cor ou raça - Branca,24319,pessoas
População residente - cor ou raça - Preta,489,pessoas
População residente - cor ou raça - Parda,3962,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,472,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,25,pessoas
Área da unidade territorial,264.976,Km²
Eleitorado,21415,Eleitores
PIB per capita a preços correntes,16153.29,Reais
Matrícula - Ensino fundamental - 2009,3984,Matrículas
Matrícula - Ensino médio - 2009,1587,Matrículas
Docentes - Ensino fundamental - 2009,267,Docentes
Docentes - Ensino médio - 2009,108,Docentes
Estabelecimentos de Saúde SUS,13,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,390,pessoas
Receitas orçamentárias realizadas - Correntes,3682317788,Reais
Despesas orçamentárias empenhadas - Correntes,2597903922,Reais
Valor do Fundo de Participação dos Municípios  - FPM,930857296,Reais
Número de unidades locais,1509,Unidades
Pessoal ocupado total,7191,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

