GARRUCHOS  código:430865

Descrição,Valor,Unidade
Total de endereços urbanos,536,endereços
Total de endereços rurais,1009,endereços
Total de estabelecimentos de ensino,6,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,1090,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,953,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1079,domicílios
População residente ,3234,pessoas
População residente - Homens,1682,pessoas
População residente - Mulheres,1552,pessoas
População residente alfabetizada,2687,pessoas
População residente - cor ou raça - Branca,2425,pessoas
População residente - cor ou raça - Preta,66,pessoas
População residente - cor ou raça - Parda,735,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,219,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,4,pessoas
Área da unidade territorial,799.852,Km²
Eleitorado,2882,Eleitores
PIB per capita a preços correntes,60159.10,Reais
Matrícula - Ensino fundamental - 2009,546,Matrículas
Matrícula - Ensino médio - 2009,146,Matrículas
Docentes - Ensino fundamental - 2009,43,Docentes
Docentes - Ensino médio - 2009,10,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,1087827376,Reais
Despesas orçamentárias empenhadas - Correntes,814577971,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917663,Reais
Número de unidades locais,65,Unidades
Pessoal ocupado total,319,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

