GENERAL CÃ¢MARA  código:430880

Descrição,Valor,Unidade
Total de endereços urbanos,2605,endereços
Total de endereços rurais,1810,endereços
Total de estabelecimentos de ensino,11,estabelecimentos
Total de estabelecimentos de saúde,9,estabelecimentos
Domicílios particulares permanentes,3001,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,2093,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2988,domicílios
População residente ,8447,pessoas
População residente - Homens,4233,pessoas
População residente - Mulheres,4214,pessoas
População residente alfabetizada,7110,pessoas
População residente - cor ou raça - Branca,7641,pessoas
População residente - cor ou raça - Preta,366,pessoas
População residente - cor ou raça - Parda,409,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,158,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,510.012,Km²
Eleitorado,6598,Eleitores
PIB per capita a preços correntes,9684.28,Reais
Matrícula - Ensino fundamental - 2009,1286,Matrículas
Matrícula - Ensino médio - 2009,309,Matrículas
Docentes - Ensino fundamental - 2009,99,Docentes
Docentes - Ensino médio - 2009,32,Docentes
Estabelecimentos de Saúde SUS,5,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,84,pessoas
Receitas orçamentárias realizadas - Correntes,946013960,Reais
Despesas orçamentárias empenhadas - Correntes,795186597,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,250,Unidades
Pessoal ocupado total,747,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

