GENTIL  código:430885

Descrição,Valor,Unidade
Total de endereços urbanos,326,endereços
Total de endereços rurais,365,endereços
Total de estabelecimentos de ensino,4,estabelecimentos
Total de estabelecimentos de saúde,4,estabelecimentos
Domicílios particulares permanentes,545,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,476,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,531,domicílios
População residente ,1677,pessoas
População residente - Homens,889,pessoas
População residente - Mulheres,788,pessoas
População residente alfabetizada,1471,pessoas
População residente - cor ou raça - Branca,1416,pessoas
População residente - cor ou raça - Preta,71,pessoas
População residente - cor ou raça - Parda,70,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,32,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,184.015,Km²
Eleitorado,1413,Eleitores
PIB per capita a preços correntes,29185.74,Reais
Matrícula - Ensino fundamental - 2009,211,Matrículas
Matrícula - Ensino médio - 2009,65,Matrículas
Docentes - Ensino fundamental - 2009,26,Docentes
Docentes - Ensino médio - 2009,9,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,735618662,Reais
Despesas orçamentárias empenhadas - Correntes,519201777,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917617,Reais
Número de unidades locais,55,Unidades
Pessoal ocupado total,274,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

