GETÃºLIO VARGAS  código:430890

Descrição,Valor,Unidade
Total de endereços urbanos,6324,endereços
Total de endereços rurais,939,endereços
Total de estabelecimentos de ensino,20,estabelecimentos
Total de estabelecimentos de saúde,45,estabelecimentos
Domicílios particulares permanentes,5632,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,4798,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,5614,domicílios
População residente ,16154,pessoas
População residente - Homens,7849,pessoas
População residente - Mulheres,8305,pessoas
População residente alfabetizada,14595,pessoas
População residente - cor ou raça - Branca,13713,pessoas
População residente - cor ou raça - Preta,378,pessoas
População residente - cor ou raça - Parda,1950,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,271,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,16,pessoas
Área da unidade territorial,286.567,Km²
Eleitorado,12476,Eleitores
PIB per capita a preços correntes,13970.41,Reais
Matrícula - Ensino fundamental - 2009,1943,Matrículas
Matrícula - Ensino médio - 2009,550,Matrículas
Docentes - Ensino fundamental - 2009,142,Docentes
Docentes - Ensino médio - 2009,46,Docentes
Estabelecimentos de Saúde SUS,12,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,206,pessoas
Receitas orçamentárias realizadas - Correntes,2008705834,Reais
Despesas orçamentárias empenhadas - Correntes,1555262040,Reais
Valor do Fundo de Participação dos Municípios  - FPM,664862595,Reais
Número de unidades locais,901,Unidades
Pessoal ocupado total,4203,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

