GLORINHA  código:430905

Descrição,Valor,Unidade
Total de endereços urbanos,1049,endereços
Total de endereços rurais,2973,endereços
Total de estabelecimentos de ensino,9,estabelecimentos
Total de estabelecimentos de saúde,6,estabelecimentos
Domicílios particulares permanentes,2390,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1140,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2385,domicílios
População residente ,6891,pessoas
População residente - Homens,3536,pessoas
População residente - Mulheres,3355,pessoas
População residente alfabetizada,5921,pessoas
População residente - cor ou raça - Branca,6036,pessoas
População residente - cor ou raça - Preta,387,pessoas
População residente - cor ou raça - Parda,446,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,87,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,7,pessoas
Área da unidade territorial,323.642,Km²
Eleitorado,5269,Eleitores
PIB per capita a preços correntes,29832.59,Reais
Matrícula - Ensino fundamental - 2009,988,Matrículas
Matrícula - Ensino médio - 2009,286,Matrículas
Docentes - Ensino fundamental - 2009,62,Docentes
Docentes - Ensino médio - 2009,17,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,72,pessoas
Receitas orçamentárias realizadas - Correntes,1630354823,Reais
Despesas orçamentárias empenhadas - Correntes,1181754549,Reais
Valor do Fundo de Participação dos Municípios  - FPM,397244457,Reais
Número de unidades locais,304,Unidades
Pessoal ocupado total,4619,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

