GRAMADO DOS LOUREIROS  código:430912

Descrição,Valor,Unidade
Total de endereços urbanos,270,endereços
Total de endereços rurais,633,endereços
Total de estabelecimentos de ensino,5,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,722,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,641,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,717,domicílios
População residente ,2269,pessoas
População residente - Homens,1151,pessoas
População residente - Mulheres,1118,pessoas
População residente alfabetizada,1863,pessoas
População residente - cor ou raça - Branca,1508,pessoas
População residente - cor ou raça - Preta,162,pessoas
População residente - cor ou raça - Parda,272,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,98,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,131.396,Km²
Eleitorado,1989,Eleitores
PIB per capita a preços correntes,9324.83,Reais
Matrícula - Ensino fundamental - 2009,414,Matrículas
Matrícula - Ensino médio - 2009,114,Matrículas
Docentes - Ensino fundamental - 2009,36,Docentes
Docentes - Ensino médio - 2009,11,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,727782265,Reais
Despesas orçamentárias empenhadas - Correntes,571242783,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,31,Unidades
Pessoal ocupado total,202,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

