GRAMADO  código:430910

Descrição,Valor,Unidade
Total de endereços urbanos,17754,endereços
Total de endereços rurais,1756,endereços
Total de estabelecimentos de ensino,41,estabelecimentos
Total de estabelecimentos de saúde,30,estabelecimentos
Domicílios particulares permanentes,11140,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,9533,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,11130,domicílios
População residente ,32273,pessoas
População residente - Homens,15673,pessoas
População residente - Mulheres,16600,pessoas
População residente alfabetizada,29177,pessoas
População residente - cor ou raça - Branca,28903,pessoas
População residente - cor ou raça - Preta,678,pessoas
População residente - cor ou raça - Parda,2641,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,88,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,46,pessoas
Área da unidade territorial,237.828,Km²
Eleitorado,24891,Eleitores
PIB per capita a preços correntes,14741.02,Reais
Matrícula - Ensino fundamental - 2009,4668,Matrículas
Matrícula - Ensino médio - 2009,1303,Matrículas
Docentes - Ensino fundamental - 2009,311,Docentes
Docentes - Ensino médio - 2009,85,Docentes
Estabelecimentos de Saúde SUS,13,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,542,pessoas
Receitas orçamentárias realizadas - Correntes,6949948711,Reais
Despesas orçamentárias empenhadas - Correntes,5415950161,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1063780161,Reais
Número de unidades locais,2852,Unidades
Pessoal ocupado total,16572,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

