GRAVATAÃ­  código:430920

Descrição,Valor,Unidade
Total de endereços urbanos,97402,endereços
Total de endereços rurais,6818,endereços
Total de estabelecimentos de ensino,124,estabelecimentos
Total de estabelecimentos de saúde,56,estabelecimentos
Domicílios particulares permanentes,82378,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,62516,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,82173,domicílios
População residente ,255660,pessoas
População residente - Homens,124880,pessoas
População residente - Mulheres,130780,pessoas
População residente alfabetizada,225797,pessoas
População residente - cor ou raça - Branca,216454,pessoas
População residente - cor ou raça - Preta,17805,pessoas
População residente - cor ou raça - Parda,20560,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,1829,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,103,pessoas
Área da unidade territorial,463.501,Km²
Eleitorado,159510,Eleitores
PIB per capita a preços correntes,20105.08,Reais
Matrícula - Ensino fundamental - 2009,39585,Matrículas
Matrícula - Ensino médio - 2009,10031,Matrículas
Docentes - Ensino fundamental - 2009,1689,Docentes
Docentes - Ensino médio - 2009,538,Docentes
Estabelecimentos de Saúde SUS,42,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,3177,pessoas
Receitas orçamentárias realizadas - Correntes,32750635482,Reais
Despesas orçamentárias empenhadas - Correntes,28133617331,Reais
Valor do Fundo de Participação dos Municípios  - FPM,3614220766,Reais
Número de unidades locais,7942,Unidades
Pessoal ocupado total,54917,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

